twitter _CLU17_lambdaClu0.20_lambdaTri0.60_mlp     |0.7088 & 0.6547 & 0.6807 & 0.6464 & 0.5755 & 0.6350 & 0.6038 & 0.6464
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4704 & 0.5348 & 0.4185 # bs = 16 & lr = 0.0001 & dropout = 0.6 & wd=5e-3 & es-patience=6
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5895 & 0.5611 & 0.6124 # bs = 64 & lr = 0.0001 & dropout = 0.6 & wd=5e-3 & es-patience=6
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6307 & 0.4429 & 0.7821 # bs = 64 & lr = 0.0001 & dropout = 0.6 & wd=5e-3 & es-patience=5
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6307 & 0.4429 & 0.7821 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5112 & 0.3457 & 0.6231 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5541 & 0.6160 & 0.5122 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4717 & 0.6904 & 0.3236 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5717 & 0.5943 & 0.5564 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5475 & 0.6020 & 0.5107 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5717 & 0.5943 & 0.5564 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4909 & 0.1927 & 0.6928 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4910 & 0.6166 & 0.4060 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6416 & 0.5228 & 0.7375 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6540 & 0.3498 & 0.8997 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5580 & 0.2400 & 0.8148 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6214 & 0.4763 & 0.7386 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4357 & 0.5696 & 0.3274 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6147 & 0.4779 & 0.7250 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5592 & 0.7183 & 0.4308 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6932 & 0.5873 & 0.7785 
